Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,130.81,-82.804,180.0,bottom
C10,10uF,C_0402_1005Metric,142.466,-100.076,180.0,bottom
C11,100nF,C_0402_1005Metric,142.494,-94.996,0.0,bottom
C12,10uF,C_0402_1005Metric,133.858,-96.012,0.0,bottom
C13,100nF,C_0402_1005Metric,133.858,-97.028,0.0,bottom
C2,22uF,C_0402_1005Metric,130.838,-81.788,180.0,bottom
C3,100nF,C_0402_1005Metric,133.124,-83.312,0.0,bottom
C4,1uF,C_0402_1005Metric,140.49,-80.264,180.0,bottom
C5,100nF,C_0402_1005Metric,135.89,-99.822,90.0,bottom
C6,1uF,C_0402_1005Metric,137.036,-99.822,90.0,bottom
C7,10uF,C_0402_1005Metric,138.052,-99.822,90.0,bottom
C8,1uF,C_0402_1005Metric,139.672,-99.695,0.0,bottom
C9,100nF,C_0402_1005Metric,133.576,-93.726,180.0,bottom
D1,LED,LED_0603_1608Metric,136.652,-79.248,0.0,bottom
MIC1,~,MIC-SMD_5P-L3.5-W2.7-TL_MMICT390200012,130.51975,-95.072,90.0,bottom
R1,5.1k,R_0402_1005Metric,135.126,-88.138,0.0,bottom
R2,5.1k,R_0402_1005Metric,135.128,-84.836,0.0,bottom
R3,10k,R_0402_1005Metric,140.46,-79.248,0.0,bottom
R4,100,R_0402_1005Metric,133.856,-79.248,180.0,bottom
R5,4.7k,R_0402_1005Metric,136.398,-93.218,180.0,bottom
R6,4.7k,R_0402_1005Metric,136.398,-92.202,180.0,bottom
SW1,~,SW-SMD_4P-L2.8-W1.9-P1.16-LS3.0,130.81,-85.09,180.0,bottom
SW2,~,SW-SMD_4P-L2.8-W1.9-P1.16-LS3.0,130.81,-87.63,0.0,bottom
U1,2.4GHz,BULETM-SMD_ESP32-S3-MINI-1-N8,136.1385,-86.207,0.0,top
U2,~,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,139.7,-96.901,90.0,bottom
U3,~,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,139.446,-97.536,180.0,top
USB1,~,USB-C-SMD_TYPE-C-6PIN-2MD-073,139.2945,-86.36,270.0,bottom
